jp|meaning|example
(プラット)ホーム混雑している|the platform is crowded|
白線|white line|<img src="home.jpg">
黄色い線|yellow line|<img src="home.jpg">
白線の内側に下がる|stand behind the white line|下がる=step back
特急が通過する|express train doesn't stop here|
乗車する|get on the vehicle|
下車する|get off the vehicle|
発車する|depart|
電車（の中）はがらがらだ|the train is empty|
満員電車で通勤する|commute on a packedd train|
電車がゆれる|the train joggle|
始発（電車）|the first train of the day|
終電|last train|
始発駅から乗る|get on from the starting station|
終点で降りる|get of the train at the last statiion|
乗り換える|change trains|
急行から各駅停車に乗り換える|change from an express train to a local train|
乗り遅れる|miss the train|
乗り過ごす|to ride past; to miss one's stop|
乗り越す|to go beyond the destination on one's ticket (intentionally)|
乗り越し|travelling beyone the destination on one's ticket (intentionally)|
運賃を精算する|adjust the fare|If you did not pay the correct fare for your destination station, you have to pay the difference at a "Fare Adjustment" machine before leaving through the gates. If there are no such machines, you can pay the difference at the manned gate.<br/><img src="adjust_fare.jpg">
車掌が車内アナウンスをする|The conductor makes an announcement in the train|
携帯電話の使用を控える|refrain from using mobile phones|
(お)年寄り/老人に席を譲る|(O) Give up a seat to the elderly|
体の不自由な人|handicapped person|
ちかんにあう|sexually harrased|
駅の売店|a station kiosk|
