jp|meaning|example
一昨日|おととい(same kanji), the day before yesterday|
昨日|きのう|
あさって|the day after tomorrow|
明々後日|three days from now|
しあさって|three days from now|
元日|New Year's Day|
元旦|morning of New Year's Day|
上旬|first 10 days of the month|
初旬|first 10 days of the month|
中旬|second third of the month|
下旬|last 10 days of the month|
平日|weekday|
祝日|national holiday|
祭日|festive holiday| national holiday. on hinative, said it's old usage
昨年|去年|
一昨年|おととし|
再来年|the year after next|
先々月|the month before last|
先々週|the week before last|
再来月|the month after next|
再来週|the week after next|
先日|the other day|
年末年始|year-end and New Year holidays (usu. from December 29 to January 3)|
暮れ|at the end of the year|
休暇を取る|take a vacation|
日にち|date|
日程|schedule|
スケジュール|schedule|
調整する|make+adjustment|
変更する|make+altercation|
ずらす|to shift|
荷物をつめる|pack one's luggage|
海外旅行|oversea trip|
国内旅行|domestic travel|
二泊三日で温泉に行く|Go to a hot spring for three days and two nights|
旅館に宿泊する|stay at a Japanese inn|
